	subject	activity	measure	value
1	1	LAYING	tBodyAcc-mean()-X	0.221598244
2	2	LAYING	tBodyAcc-mean()-X	0.281373404
3	3	LAYING	tBodyAcc-mean()-X	0.275516853
4	4	LAYING	tBodyAcc-mean()-X	0.263559215
5	5	LAYING	tBodyAcc-mean()-X	0.278334326
6	6	LAYING	tBodyAcc-mean()-X	0.24865652
7	7	LAYING	tBodyAcc-mean()-X	0.250176694
8	8	LAYING	tBodyAcc-mean()-X	0.261254283
9	9	LAYING	tBodyAcc-mean()-X	0.259195537
10	10	LAYING	tBodyAcc-mean()-X	0.280230574
11	11	LAYING	tBodyAcc-mean()-X	0.280592971
12	12	LAYING	tBodyAcc-mean()-X	0.260113433
13	13	LAYING	tBodyAcc-mean()-X	0.27671636
14	14	LAYING	tBodyAcc-mean()-X	0.23327544
15	15	LAYING	tBodyAcc-mean()-X	0.289475653
16	16	LAYING	tBodyAcc-mean()-X	0.274227163
17	17	LAYING	tBodyAcc-mean()-X	0.269780086
18	18	LAYING	tBodyAcc-mean()-X	0.274691577
19	19	LAYING	tBodyAcc-mean()-X	0.272653733
20	20	LAYING	tBodyAcc-mean()-X	0.239507882
21	21	LAYING	tBodyAcc-mean()-X	0.271325472
22	22	LAYING	tBodyAcc-mean()-X	0.279959721
23	23	LAYING	tBodyAcc-mean()-X	0.274038008
24	24	LAYING	tBodyAcc-mean()-X	0.272850495
25	25	LAYING	tBodyAcc-mean()-X	0.250791829
26	26	LAYING	tBodyAcc-mean()-X	0.271645865
27	27	LAYING	tBodyAcc-mean()-X	0.274102492
28	28	LAYING	tBodyAcc-mean()-X	0.275913483
29	29	LAYING	tBodyAcc-mean()-X	0.287295197
30	30	LAYING	tBodyAcc-mean()-X	0.281033901
31	1	SITTING	tBodyAcc-mean()-X	0.261237565
32	2	SITTING	tBodyAcc-mean()-X	0.277087352
33	3	SITTING	tBodyAcc-mean()-X	0.257197599
34	4	SITTING	tBodyAcc-mean()-X	0.27153828
35	5	SITTING	tBodyAcc-mean()-X	0.27369414
36	6	SITTING	tBodyAcc-mean()-X	0.276778487
